gid_0,country,gid_1,internet_women,internet_men,internet_fm_ratio,mobile_women,mobile_men,mobile_fm_ratio,internet_women_national,internet_men_national,internet_fm_ratio_national,mobile_women_national,mobile_men_national,mobile_fm_ratio_national
AFG,Afghanistan,AFG.1_1,0.11739,0.3575,0.13718,0.43888,0.73199,0.32276,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.1_1,0.11739,0.3575,0.13718,0.43888,0.73199,0.32276,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.1_1,0.11739,0.3575,0.13718,0.43888,0.73199,0.32276,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.1_1,0.11739,0.3575,0.13718,0.43888,0.73199,0.32276,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.1_1,0.11739,0.3575,0.13718,0.43888,0.73199,0.32276,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.1_1,0.11739,0.3575,0.13718,0.43888,0.73199,0.32276,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.1_1,0.11739,0.3575,0.13718,0.43888,0.73199,0.32276,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.1_1,0.11739,0.3575,0.13718,0.43888,0.73199,0.32276,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.1_1,0.11739,0.3575,0.13718,0.43888,0.73199,0.32276,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.1_1,0.11739,0.3575,0.13718,0.43888,0.73199,0.32276,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.1_1,0.11739,0.3575,0.13718,0.43888,0.73199,0.32276,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.1_1,0.11739,0.3575,0.13718,0.43888,0.73199,0.32276,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.1_1,0.11739,0.3575,0.13718,0.43888,0.73199,0.32276,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.1_1,0.11739,0.3575,0.13718,0.43888,0.73199,0.32276,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.1_1,0.11739,0.3575,0.13718,0.43888,0.73199,0.32276,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.1_1,0.11739,0.3575,0.13718,0.43888,0.73199,0.32276,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.1_1,0.11739,0.3575,0.13718,0.43888,0.73199,0.32276,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.1_1,0.11739,0.3575,0.13718,0.43888,0.73199,0.32276,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.1_1,0.11739,0.3575,0.13718,0.43888,0.73199,0.32276,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.1_1,0.11739,0.3575,0.13718,0.43888,0.73199,0.32276,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.2_1,0.11449,0.37189,0.17274,0.46791,0.77624,0.37488,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.2_1,0.11449,0.37189,0.17274,0.46791,0.77624,0.37488,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.2_1,0.11449,0.37189,0.17274,0.46791,0.77624,0.37488,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.2_1,0.11449,0.37189,0.17274,0.46791,0.77624,0.37488,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.2_1,0.11449,0.37189,0.17274,0.46791,0.77624,0.37488,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.2_1,0.11449,0.37189,0.17274,0.46791,0.77624,0.37488,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.2_1,0.11449,0.37189,0.17274,0.46791,0.77624,0.37488,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.2_1,0.11449,0.37189,0.17274,0.46791,0.77624,0.37488,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.2_1,0.11449,0.37189,0.17274,0.46791,0.77624,0.37488,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.2_1,0.11449,0.37189,0.17274,0.46791,0.77624,0.37488,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.2_1,0.11449,0.37189,0.17274,0.46791,0.77624,0.37488,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.2_1,0.11449,0.37189,0.17274,0.46791,0.77624,0.37488,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.2_1,0.11449,0.37189,0.17274,0.46791,0.77624,0.37488,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.2_1,0.11449,0.37189,0.17274,0.46791,0.77624,0.37488,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.2_1,0.11449,0.37189,0.17274,0.46791,0.77624,0.37488,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.2_1,0.11449,0.37189,0.17274,0.46791,0.77624,0.37488,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.2_1,0.11449,0.37189,0.17274,0.46791,0.77624,0.37488,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.2_1,0.11449,0.37189,0.17274,0.46791,0.77624,0.37488,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.2_1,0.11449,0.37189,0.17274,0.46791,0.77624,0.37488,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.2_1,0.11449,0.37189,0.17274,0.46791,0.77624,0.37488,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.3_1,0.11862,0.36762,0.16705,0.44262,0.75209,0.35247,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.3_1,0.11862,0.36762,0.16705,0.44262,0.75209,0.35247,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.3_1,0.11862,0.36762,0.16705,0.44262,0.75209,0.35247,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.3_1,0.11862,0.36762,0.16705,0.44262,0.75209,0.35247,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.3_1,0.11862,0.36762,0.16705,0.44262,0.75209,0.35247,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.3_1,0.11862,0.36762,0.16705,0.44262,0.75209,0.35247,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.3_1,0.11862,0.36762,0.16705,0.44262,0.75209,0.35247,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.3_1,0.11862,0.36762,0.16705,0.44262,0.75209,0.35247,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.3_1,0.11862,0.36762,0.16705,0.44262,0.75209,0.35247,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.3_1,0.11862,0.36762,0.16705,0.44262,0.75209,0.35247,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.3_1,0.11862,0.36762,0.16705,0.44262,0.75209,0.35247,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.3_1,0.11862,0.36762,0.16705,0.44262,0.75209,0.35247,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.3_1,0.11862,0.36762,0.16705,0.44262,0.75209,0.35247,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.3_1,0.11862,0.36762,0.16705,0.44262,0.75209,0.35247,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.3_1,0.11862,0.36762,0.16705,0.44262,0.75209,0.35247,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.3_1,0.11862,0.36762,0.16705,0.44262,0.75209,0.35247,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.3_1,0.11862,0.36762,0.16705,0.44262,0.75209,0.35247,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.3_1,0.11862,0.36762,0.16705,0.44262,0.75209,0.35247,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.3_1,0.11862,0.36762,0.16705,0.44262,0.75209,0.35247,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.3_1,0.11862,0.36762,0.16705,0.44262,0.75209,0.35247,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.4_1,0.24992,0.49731,0.28772,0.52648,0.87537,0.39979,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.4_1,0.24992,0.49731,0.28772,0.52648,0.87537,0.39979,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.4_1,0.24992,0.49731,0.28772,0.52648,0.87537,0.39979,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.4_1,0.24992,0.49731,0.28772,0.52648,0.87537,0.39979,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.4_1,0.24992,0.49731,0.28772,0.52648,0.87537,0.39979,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
